cons_name,annual_mm,aug_break,centroid_lat,centroid_lon,region_2019,k5,zone5,zone3
Aowin,1628.66180418872,1.0024599345421183,5.699329525400886,-2.730216956475392,Western North,3,Forest,Southern (bimodal)
Asante Akim Central,1341.8322674487035,0.8466067076253214,6.630383310756256,-1.0451709141039922,Ashanti,0,Transition,Transition (middle belt)
Asante Akim North,1277.6744326638,0.7655896432646552,6.756760728496584,-1.0206179900785288,Ashanti,0,Transition,Transition (middle belt)
Asante Akim South,1342.105007562243,0.8675741972207484,6.3738528169258775,-1.1417676764802087,Ashanti,3,Forest,Southern (bimodal)
Asawase,1248.4178426319281,0.9295243003844395,6.685757357905307,-1.607368458343779,Ashanti,0,Transition,Transition (middle belt)
Asene Akroso Manso,1417.7952319309838,1.0442274425907254,5.789493449725205,-0.819892092117902,Eastern,3,Forest,Southern (bimodal)
Ashiaman,913.2158211054401,0.7980703745288281,5.755372737002106,-0.0942969629594667,Greater Accra,3,Forest,Southern (bimodal)
Asikuma Odoben Brakwa,1361.0167216112156,0.9778832292716197,5.633073269820023,-1.0123946812628346,Central,3,Forest,Southern (bimodal)
Asokwa,1280.4603324489622,0.9557692007957415,6.653597991169874,-1.5951105820251283,Ashanti,0,Transition,Transition (middle belt)
Assin Central,1447.988668148467,0.93643319508303,5.700280504020671,-1.3094474809510082,Central,3,Forest,Southern (bimodal)
Assin North,1463.2583646533542,0.9354335564000438,5.802440937176466,-1.4013344248016062,Central,3,Forest,Southern (bimodal)
Assin South,1381.181856123931,0.9699048498849739,5.531340550064317,-1.291826823184561,Central,3,Forest,Southern (bimodal)
Asunafo North,1216.281701304826,0.9102918315380031,6.815782545417226,-2.6856388123908146,Ahafo,0,Transition,Transition (middle belt)
Asunafo South,1320.5089460143347,0.8923389343733039,6.560606232470892,-2.607826290627792,Ahafo,0,Transition,Transition (middle belt)
Asuogyaman,1205.837226469756,0.9877861530530705,6.356971567069281,0.0680803689093056,Eastern,3,Forest,Southern (bimodal)
Asutifi North,1170.133185838124,0.8795467536498411,7.037805999336291,-2.533374288638407,Ahafo,0,Transition,Transition (middle belt)
Asutifi South,1204.8918548590796,0.9308890384374009,6.888805526448998,-2.405186195086113,Ahafo,0,Transition,Transition (middle belt)
Atebubu Amantin,1185.2204343014466,0.7697202424678674,7.694246093744445,-1.1353668881284005,Bono East,0,Transition,Transition (middle belt)
Atiwa East,1381.5164772520434,0.8832904820215658,6.315225614319608,-0.6146450838250546,Eastern,3,Forest,Southern (bimodal)
Atiwa West,1372.4788122657762,0.9043749266782315,6.322497138126288,-0.7979930303936091,Eastern,3,Forest,Southern (bimodal)
Atwima Kwanwoma,1335.1147062596494,0.9740242335158602,6.600119806578995,-1.7348215588645932,Ashanti,0,Transition,Transition (middle belt)
Atwima Mponua,1363.893080692779,0.9200414971946025,6.555469229857144,-2.1613064651615628,Ashanti,0,Transition,Transition (middle belt)
Atwima Nwabiagya North,1291.3066664079822,1.0271292939934893,6.842819647874201,-1.7620753648098015,Ashanti,0,Transition,Transition (middle belt)
Atwima Nwabiagya South,1320.619853533649,1.0085184292112843,6.719210715993997,-1.812576726340817,Ashanti,0,Transition,Transition (middle belt)
Awutu Senya East,1079.8469007342667,0.9976689484337441,5.558738601058394,-0.5264776826803398,Central,3,Forest,Southern (bimodal)
Awutu Senya West,1054.3136566001883,0.997924973290503,5.507387737662523,-0.577742344055723,Central,3,Forest,Southern (bimodal)
Ayawaso Central,771.2025537150613,1.1121525424576326,5.578100211940017,-0.2149440455529435,Greater Accra,2,Coastal,Southern (bimodal)
Ayawaso East,733.3251424634892,1.0694670599016458,5.5784889394371895,-0.1933568532932688,Greater Accra,2,Coastal,Southern (bimodal)
Ayawaso North,748.2817960660611,1.0474056608311868,5.602135892391905,-0.1981759249237464,Greater Accra,2,Coastal,Southern (bimodal)
Ayawaso West Wuogon,756.6092870210405,1.004384102096868,5.632580856669685,-0.1773071540243968,Greater Accra,2,Coastal,Southern (bimodal)
Ayensuano,1334.5835206437355,0.9844108401970892,5.937243153231607,-0.4795787163556061,Eastern,3,Forest,Southern (bimodal)
Banda,958.6597187782014,0.4629045975206162,8.422830506276933,-2.361986194208183,Bono,0,Transition,Transition (middle belt)
Bantama,1323.499169431486,1.0662281435760235,6.709482815767458,-1.669144734905875,Ashanti,0,Transition,Transition (middle belt)
Bawku Central,956.9785035484889,-1.2384372703361466,10.961261775805315,-0.2331636658148156,Upper East,1,Sudan Savannah,Northern (unimodal)
Bekwai,1329.9780679938294,0.8508711817536354,6.398162963259489,-1.626810400492256,Ashanti,0,Transition,Transition (middle belt)
Berekum East,1084.7541028354408,0.823353816311094,7.4917450599828275,-2.5811182705065105,Bono,0,Transition,Transition (middle belt)
Berekum West,1080.667100258244,0.8220208920982431,7.5299310489045235,-2.7298601667548987,Bono,0,Transition,Transition (middle belt)
Bia East,1260.9561702364758,0.9023815211068645,6.668904425843025,-2.961828903460267,Western North,0,Transition,Transition (middle belt)
Bia West,1217.7026796261857,0.9166907273777366,6.690432984662193,-3.1220203934942643,Western North,0,Transition,Transition (middle belt)
Biakoye,1363.0953819930432,0.5999158511376997,7.390146827299349,0.3289420315262211,Oti,0,Transition,Transition (middle belt)
Bibiani Anwiaso Bekwai,1478.6994266565955,0.867363055197442,6.30124456688008,-2.240803134495402,Western North,3,Forest,Southern (bimodal)
Bimbilla,1212.8501605157885,0.2932858432759699,8.86626285650008,-0.1251110313275088,Northern,4,Guinea Savannah,Northern (unimodal)
Binduri,948.4600157383537,-1.2455451179289356,10.96749216736066,-0.3223075145630134,Upper East,1,Sudan Savannah,Northern (unimodal)
Bodi,1408.1768505611383,0.9183765770340676,6.363965164348054,-2.792722087431452,Western North,3,Forest,Southern (bimodal)
Bole Bamboi,954.5057700335345,0.2423404054851391,8.696228330081121,-2.262947981569655,Savannah,4,Guinea Savannah,Northern (unimodal)
Bolgatanga Central,975.0369618749183,-1.207957572103502,10.803602608659336,-0.9531029008839812,Upper East,1,Sudan Savannah,Northern (unimodal)
Bolgatanga East,1003.2088779364808,-1.012816483436293,10.79263825027411,-0.8261262470269531,Upper East,1,Sudan Savannah,Northern (unimodal)
Bongo,966.1247642371629,-1.2249038656607842,10.915529008090072,-0.7831746932071489,Upper East,1,Sudan Savannah,Northern (unimodal)
Bosome Freho,1393.6196689401029,0.8756820221980929,6.284198439770398,-1.327334797321288,Ashanti,3,Forest,Southern (bimodal)
Bosomtwe,1421.8776158614323,0.8581268107530683,6.550709938909249,-1.4888774334926629,Ashanti,0,Transition,Transition (middle belt)
Botianor Ngleshie,973.2006119342251,1.0732962285052314,5.51895849539381,-0.3454576056354044,Greater Accra,2,Coastal,Southern (bimodal)
Buem,1497.0460747164734,0.5917767059752072,7.368824712265788,0.4633232974967682,Oti,0,Transition,Transition (middle belt)
Builsa North,974.3490013190437,-1.2040861877064832,10.710561603476002,-1.300082780370932,Upper East,1,Sudan Savannah,Northern (unimodal)
Builsa South,978.5384685129723,-1.029292636976985,10.509534026668923,-1.3323917684409547,Upper East,1,Sudan Savannah,Northern (unimodal)
Bunkpurugu,986.9711655325642,-0.8770146552627511,10.57710837999413,-0.0450873702729995,North East,1,Sudan Savannah,Northern (unimodal)
Cape Coast North,1079.1666294006288,1.1127396167717758,5.196736214991478,-1.3207440310073673,Central,2,Coastal,Southern (bimodal)
Cape Coast South,1002.954459572372,1.1535081403139547,5.14846261812248,-1.2725555690249073,Central,2,Coastal,Southern (bimodal)
Central Tongu,999.4201234440134,1.0269221172184666,6.1413078817149485,0.5315715700666601,Volta,0,Transition,Transition (middle belt)
Chiana Paga,997.1009561262923,-1.3544087056587328,10.878088098175104,-1.262762925416575,Upper East,1,Sudan Savannah,Northern (unimodal)
Chireponi,1064.0251653927373,-0.45299433064541156,10.17037727020572,0.2234464788937753,North East,1,Sudan Savannah,Northern (unimodal)
Daboya Mankarigu,1003.2124514492252,-0.42955520954497206,9.640085891140115,-1.6202833009266386,Savannah,4,Guinea Savannah,Northern (unimodal)
Dadekotopon,729.6870719962423,1.0113121384511878,5.584034819495758,-0.1523057496865685,Greater Accra,2,Coastal,Southern (bimodal)
Daffiama Bussie Issa,1002.8519056917368,-1.1137015679684754,10.371949765225365,-2.3365524814789533,Upper West,1,Sudan Savannah,Northern (unimodal)
Damongo,954.0137237617595,-0.08913260460891873,9.157520373414696,-1.8011752436269055,Savannah,4,Guinea Savannah,Northern (unimodal)
Dome Kwabenya,850.4074181902461,0.9187572348862423,5.671018861698579,-0.2347242608980424,Greater Accra,2,Coastal,Southern (bimodal)
Domeabra/ Obom,1187.760808645791,0.964966630504278,5.7189160091175575,-0.4531011185962407,Greater Accra,3,Forest,Southern (bimodal)
Dormaa Central,1073.2047905246418,0.8028417758296689,7.277303166409562,-2.7193988608173814,Bono,0,Transition,Transition (middle belt)
Dormaa East,1076.6076900122166,0.7928256331900011,7.355149329116208,-2.7255673273195447,Bono,0,Transition,Transition (middle belt)
Dormaa West,1111.6564868537184,0.8431405729891556,7.043949920709016,-2.893348566408116,Bono,0,Transition,Transition (middle belt)
EKUMFI,1067.770713693601,0.9986599044323426,5.272359135789525,-0.916656627899026,Central,2,Coastal,Southern (bimodal)
Effia,1233.9132878661858,1.1490008029048417,4.92672515592705,-1.825980546187342,Western,2,Coastal,Southern (bimodal)
Effiduasi/ Asokore,1285.6624040352758,0.7031259786905708,6.786243692706301,-1.348496687150374,Ashanti,0,Transition,Transition (middle belt)
Efutu,938.9242914441868,1.0162209040091232,5.370248332253589,-0.6059515545688733,Central,2,Coastal,Southern (bimodal)
Ejisu,1298.0419074032375,0.7719897685308177,6.710341958626168,-1.4385177493075068,Ashanti,0,Transition,Transition (middle belt)
Ejura/ Sekyedumase,1155.1485127420171,0.9553340727944809,7.380175053673187,-1.422866844532573,Ashanti,0,Transition,Transition (middle belt)
Ellembele,1678.3577991090515,1.0441197438811403,5.149328990714451,-2.4265451681020367,Western,2,Coastal,Southern (bimodal)
Essikadu Ketan,1316.9183208408217,1.1690175260827484,4.972360729736024,-1.7457105244119488,Western,2,Coastal,Southern (bimodal)
Evalue Ajomoro Gwira,1624.0981193681223,1.0251997996209656,5.088358958918545,-2.202699894265175,Western,2,Coastal,Southern (bimodal)
Fanteakwa North,1222.482782246854,0.8539530324317697,6.547363337633505,-0.3183388438760213,Eastern,0,Transition,Transition (middle belt)
Fanteakwa South,1361.749748597336,0.809365107565237,6.400988409272044,-0.4117132451235445,Eastern,3,Forest,Southern (bimodal)
Fomena,1329.4474762724678,0.8617398047577497,6.292780633614675,-1.5704382094654654,Ashanti,3,Forest,Southern (bimodal)
Garu,952.8150968655218,-1.1840676660688778,10.845177541395737,-0.085429174462001,Upper East,1,Sudan Savannah,Northern (unimodal)
Gomoa Central,1220.5659325738625,0.9810244809692552,5.372945679375042,-0.7915046086908865,Central,3,Forest,Southern (bimodal)
Gomoa East,1095.8306967179378,1.0170004331981761,5.455047066112395,-0.7272718049918769,Central,3,Forest,Southern (bimodal)
Gomoa West,1172.1778539340148,0.9870930646756386,5.282991760509399,-0.7907351190050519,Central,3,Forest,Southern (bimodal)
Gushiegu,1050.902386475453,-0.41419497456421484,9.876959783344086,-0.212956628089706,Northern,4,Guinea Savannah,Northern (unimodal)
Hemang Lower Denkyira,1386.1371349292185,1.002707276476058,5.359981772967747,-1.4309141105020462,Central,3,Forest,Southern (bimodal)
Ho Central,1217.8008338761074,0.8818677666572436,6.563616931261904,0.4216643308867845,Volta,0,Transition,Transition (middle belt)
Ho West,1350.380883837963,0.7930991641090535,6.698390681020838,0.3984259547357013,Volta,0,Transition,Transition (middle belt)
Hohoe,1495.6668288458407,0.5579727117504516,7.152041089889223,0.4959344559213314,Volta,0,Transition,Transition (middle belt)
Jaman North,1062.3053174270972,0.7434790503291469,7.922270791333045,-2.684842619384828,Bono,0,Transition,Transition (middle belt)
Jaman South,1071.7970184446158,0.8005725699175954,7.634897128918487,-2.770917086503923,Bono,0,Transition,Transition (middle belt)
Jirapa,985.8249440442802,-1.3193906271738238,10.60688565942481,-2.6243042226317006,Upper West,1,Sudan Savannah,Northern (unimodal)
Jomoro,1770.4992040257125,1.097637397057758,5.189212948243241,-2.799235259516871,Western,2,Coastal,Southern (bimodal)
Juaben,1315.2138377491533,0.783394571294424,6.582662468144751,-1.3480420430477082,Ashanti,0,Transition,Transition (middle belt)
Juaboso,1409.7958101404993,0.9590534448373346,6.289804295003982,-3.026506109120269,Western North,3,Forest,Southern (bimodal)
Kade,1389.830056205483,0.9295862126755619,6.155828583306315,-0.8322366953873792,Eastern,3,Forest,Southern (bimodal)
Karaga,999.570375490246,-0.5386985910690666,9.956766081221382,-0.3543874767021752,Northern,1,Sudan Savannah,Northern (unimodal)
Keta,967.7092288380078,1.095482097091602,5.972224416395649,0.897886803000404,Volta,2,Coastal,Southern (bimodal)
Ketu North,1000.7658325433403,1.1132310040144777,6.185678359834121,0.9737899789831986,Volta,0,Transition,Transition (middle belt)
Ketu South,876.062564413706,1.1601228352972879,6.084371608067842,1.065225383308783,Volta,2,Coastal,Southern (bimodal)
Kintampo North,973.8504899784407,0.34068808801517675,8.39267221746673,-1.6418935363208087,Bono East,4,Guinea Savannah,Northern (unimodal)
Kintampo South,1087.8448626413958,0.7315165808964988,7.907845816757887,-1.7472666144440483,Bono East,0,Transition,Transition (middle belt)
Komenda Edina Eguafo Abirem,1178.9218139152067,1.0828276850440361,5.131941957700448,-1.454781136672081,Central,2,Coastal,Southern (bimodal)
Korle Klottey,742.2123689310438,1.0474631113134791,5.553238604825794,-0.1919054268732905,Greater Accra,2,Coastal,Southern (bimodal)
Kpandai,1202.000291003663,0.401218718624467,8.331004054651881,-0.1389573725119026,Northern,4,Guinea Savannah,Northern (unimodal)
Kpando,1274.7282955982182,0.7578999432498167,6.831359779801488,0.2125936067561814,Volta,0,Transition,Transition (middle belt)
Kpone Katamanso,884.9688677796688,0.7281569267344722,5.75876936854483,-0.0018616609591359,Greater Accra,3,Forest,Southern (bimodal)
Krachi East,1335.9465333495893,0.43495357152474584,7.748955431137613,0.2377032028393144,Oti,4,Guinea Savannah,Northern (unimodal)
Krachi Nchumuru,1257.517423321837,0.37444495317750626,8.112714185336834,-0.0015024138971992,Oti,4,Guinea Savannah,Northern (unimodal)
Krachi West,1222.6598594680447,0.3960504381826722,7.997787857269751,-0.1437206825686183,Oti,4,Guinea Savannah,Northern (unimodal)
Krowor,798.4062747648456,1.0287625301298715,5.606803022936036,-0.0890415512985476,Greater Accra,2,Coastal,Southern (bimodal)
Kumawu,1267.350902103077,0.7755793432353978,7.194055681042341,-0.8448545904207396,Ashanti,0,Transition,Transition (middle belt)
Kumbungu,989.105061830849,-0.38304995434475336,9.760491343868685,-1.0890683521463496,Northern,4,Guinea Savannah,Northern (unimodal)
Kwabre East,1280.176859224674,0.8125742734760435,6.809411759849941,-1.518381214695708,Ashanti,0,Transition,Transition (middle belt)
Kwadaso,1312.4971778386637,1.0244899935405463,6.688084762870058,-1.6755918421903722,Ashanti,0,Transition,Transition (middle belt)
Kwesimintsim,1154.1661842237456,1.1421299247742287,4.919055755780454,-1.7706777725568892,Western,2,Coastal,Southern (bimodal)
Lambussie Karne,1018.5136639281254,-1.2665587562361693,10.839288878700645,-2.6220769154617374,Upper West,1,Sudan Savannah,Northern (unimodal)
Lawra,1073.7954984619862,-1.1893901493468044,10.647601652578594,-2.818365504677239,Upper West,1,Sudan Savannah,Northern (unimodal)
Ledzokuku,793.3027509168119,1.0629690659446136,5.602341180546174,-0.1268303596197693,Greater Accra,2,Coastal,Southern (bimodal)
Lower Manya Krobo,1144.2679315062992,0.9713771051759601,6.210243795708475,0.0246757385470373,Eastern,3,Forest,Southern (bimodal)
Lower West Akim,1426.2251997098615,0.9730684422620686,5.8824007476084885,-0.71182236808063,Eastern,3,Forest,Southern (bimodal)
Madina,1058.5224846509825,0.8691114706979493,5.7388006312289885,-0.2046417180644676,Greater Accra,3,Forest,Southern (bimodal)
Mampong,1161.3782043939575,0.9241164288690424,7.207974746338722,-1.3069741292670898,Ashanti,0,Transition,Transition (middle belt)
Manhyia North,1224.1089517400762,0.9245680488338583,6.727656483386522,-1.5651126789067744,Ashanti,0,Transition,Transition (middle belt)
Manhyia South,1250.5896941672943,0.9351024526916731,6.70499344059995,-1.5698485710335133,Ashanti,0,Transition,Transition (middle belt)
Manso Adubia,1408.3776237307188,0.9255683124057412,6.291819883227129,-1.962702293578941,Ashanti,3,Forest,Southern (bimodal)
Manso Nkwanta,1361.9378740064462,0.944842055817421,6.456794857669139,-1.838803277766755,Ashanti,0,Transition,Transition (middle belt)
Mfantseman,1047.9231403547917,1.0577129330796986,5.272109537529869,-1.1262581157762113,Central,2,Coastal,Southern (bimodal)
Mion,1107.4734344802878,-0.012878658910941058,9.43748992056913,-0.3119560011686456,Northern,4,Guinea Savannah,Northern (unimodal)
Mpohor,1514.3906476471059,0.9669286927445302,5.273179388178255,-1.797398273870742,Western,3,Forest,Southern (bimodal)
Mpraeso,1272.1142031566021,0.835142791260059,6.5788405933043,-0.5827462799885356,Eastern,0,Transition,Transition (middle belt)
Nabdam,984.6214969194267,-1.0803820716926424,10.82730594385495,-0.6689876163581596,Upper East,1,Sudan Savannah,Northern (unimodal)
Nadawli Kaleo,974.4903359043243,-1.023842969899843,10.306908278344496,-2.614751312872397,Upper West,1,Sudan Savannah,Northern (unimodal)
Nalerigu Gambaga,987.0668062912397,-0.9503776026857796,10.47572163655924,-0.4426390854725068,North East,1,Sudan Savannah,Northern (unimodal)
Nandom,1023.9060326497661,-1.290494946620007,10.88024378434424,-2.80951802529172,Upper West,1,Sudan Savannah,Northern (unimodal)
Nanton,1032.679999891269,-0.15522733620873433,9.602171223939571,-0.718369506814432,Northern,4,Guinea Savannah,Northern (unimodal)
Navrongo Central,975.756258830363,-1.2524896203901503,10.757056325478036,-1.0407453454413338,Upper East,1,Sudan Savannah,Northern (unimodal)
New Edubiase,1431.3053744879785,0.9441586228267832,6.0266100657487565,-1.397178989426303,Ashanti,3,Forest,Southern (bimodal)
New Juaben North,1353.7309725506898,0.9844706641677348,6.134913589114144,-0.311890855344255,Eastern,3,Forest,Southern (bimodal)
New Juaben South,1283.1065891848398,0.9357774176409416,6.056021135303324,-0.2838705335859028,Eastern,3,Forest,Southern (bimodal)
Nhyiaeso,1266.1389180588621,0.9429277542080428,6.654606234819156,-1.635833362175275,Ashanti,0,Transition,Transition (middle belt)
Ningo Prampram,870.0686688099061,0.7753369580996262,5.7993436856094815,0.1398381315712982,Greater Accra,3,Forest,Southern (bimodal)
Nkawkaw,1353.168917544014,0.8836732389207846,6.518829894832205,-0.8000669556186811,Eastern,0,Transition,Transition (middle belt)
Nkoranza North,1118.99741908236,0.8185799816411883,7.701424267078071,-1.6156692037336016,Bono East,0,Transition,Transition (middle belt)
Nkoranza South,1143.6659756028344,0.9288704542925625,7.47174406225528,-1.6541597997601096,Bono East,0,Transition,Transition (middle belt)
Nkwanta North,1321.5710714739898,0.39334025973727293,8.581091043846644,0.2781124260395116,Oti,4,Guinea Savannah,Northern (unimodal)
Nkwanta South,1379.9116663412424,0.3860582987687799,8.281967304392504,0.3882624587303138,Oti,4,Guinea Savannah,Northern (unimodal)
North Dayi,1250.94667182471,0.5507316605740379,6.972795016414875,0.2946199768458193,Volta,0,Transition,Transition (middle belt)
North Tongu,1034.085082278079,0.9732696433638,6.167191349073342,0.3085028107411516,Volta,3,Forest,Southern (bimodal)
Nsawam Adoagyiri,1211.9850490588888,0.9707706896519891,5.817003266636256,-0.3261129186928861,Eastern,3,Forest,Southern (bimodal)
Nsuta/ Kwamang/ Beposo,1212.807804568381,0.8649814107195885,7.239062660738647,-1.1522396463185365,Ashanti,0,Transition,Transition (middle belt)
Obuasi East,1272.5671675365018,0.9034852060956486,6.2032183977571895,-1.614769954201584,Ashanti,3,Forest,Southern (bimodal)
Obuasi West,1271.551936525135,0.900155475935774,6.200215100975112,-1.7065496675042044,Ashanti,3,Forest,Southern (bimodal)
Odododiodioo,804.6333847643855,1.006954956390108,5.532374169332321,-0.2236103567543525,Greater Accra,2,Coastal,Southern (bimodal)
Odotobri,1373.1183554230818,0.8963139623830403,6.208663523582035,-1.7784953164011512,Ashanti,3,Forest,Southern (bimodal)
Offinso North,1157.4811700414846,0.9253300834926709,7.29924046509049,-1.8981342305310385,Ashanti,0,Transition,Transition (middle belt)
Offinso South,1217.3186187156612,0.9704098414021626,7.015002927017728,-1.7607795400717252,Ashanti,0,Transition,Transition (middle belt)
Ofoase Ayirebi,1406.2331643190792,0.9193922427492675,6.106851633609461,-1.1193456025719375,Eastern,3,Forest,Southern (bimodal)
Oforikrom,1281.2290205117004,0.9294222625088187,6.666732440615735,-1.558839195305465,Ashanti,0,Transition,Transition (middle belt)
Okaikwei Central,771.1938388635041,1.1124083321402947,5.5907617248238095,-0.2338281168419574,Greater Accra,2,Coastal,Southern (bimodal)
Okaikwei North,773.6007092477455,1.0650970722410775,5.615473808717686,-0.2355715774760272,Greater Accra,2,Coastal,Southern (bimodal)
Okaikwei South,771.1533442175923,1.1135969666844374,5.57149090342321,-0.2349751464330059,Greater Accra,2,Coastal,Southern (bimodal)
Okere,1276.6332917536356,0.9128753762212646,6.04070476629631,-0.1607761450619013,Eastern,3,Forest,Southern (bimodal)
Old Tafo,1280.8841358043053,0.9862212634593963,6.736685986043256,-1.6135797008231625,Ashanti,0,Transition,Transition (middle belt)
Prestea Huni Valley,1580.3531823655924,0.9344805462430754,5.471370489704661,-2.032782618636204,Western,3,Forest,Southern (bimodal)
Pru East,1095.4672314331544,0.5342368202667565,8.07880577343075,-0.8356017022458031,Bono East,4,Guinea Savannah,Northern (unimodal)
Pru West,1065.939450047044,0.6140975635328461,8.109249656174116,-1.24126436453614,Bono East,4,Guinea Savannah,Northern (unimodal)
Pusiga,940.4832910803415,-1.3387112458390305,11.082995739795605,-0.1047798239722371,Upper East,1,Sudan Savannah,Northern (unimodal)
Saboba,1139.2875131108788,-0.1298000890611882,9.708612736728524,0.1536480909867287,Northern,4,Guinea Savannah,Northern (unimodal)
Sagnarigu,1057.8632650883171,-0.08888176044367084,9.459135880059096,-0.7504152489803287,Northern,4,Guinea Savannah,Northern (unimodal)
