cons_name,annual_mm,aug_break,centroid_lat,centroid_lon,region_2019,k5,zone5,zone3
Abetifi,1189.9299116128352,0.7853954601075374,6.722074646601381,-0.7662981135838272,Eastern,0,Transition,Transition (middle belt)
Abirem,1353.873081174564,0.9159094100013093,6.39593473210467,-0.9805981663419095,Eastern,3,Forest,Southern (bimodal)
Ablekuma Central,865.3504150710899,1.0856171898605589,5.548102582763505,-0.2452528767015245,Greater Accra,2,Coastal,Southern (bimodal)
Ablekuma North,889.1105776614404,1.0974668361062008,5.586959924032119,-0.2595102038657813,Greater Accra,2,Coastal,Southern (bimodal)
Ablekuma South,864.4732660948669,1.0491503297514329,5.531557844312843,-0.2537827418961377,Greater Accra,2,Coastal,Southern (bimodal)
Ablekuma West,949.12071727664,1.0997519695235334,5.527045169422239,-0.2667971905760101,Greater Accra,2,Coastal,Southern (bimodal)
Abuakwa North,1398.136764159143,0.9581073215131037,6.201910756061069,-0.3938969077879246,Eastern,3,Forest,Southern (bimodal)
Abuakwa South,1452.740797348702,0.9420794334389527,6.16915173954863,-0.5368869334929521,Eastern,3,Forest,Southern (bimodal)
Abura Asebu Kwamankese,1158.9802757386938,1.099406418145765,5.256046329531245,-1.2116783421196746,Central,2,Coastal,Southern (bimodal)
Achiase,1432.9229947234392,0.9923753823158659,5.823568874650495,-0.9646651775421674,Eastern,3,Forest,Southern (bimodal)
Ada,826.9573734294523,0.9470780800200834,5.872476399713562,0.5470101117609606,Greater Accra,2,Coastal,Southern (bimodal)
Adaklu,1109.0760568815183,0.9494186256181859,6.503273176225571,0.6433795455730987,Volta,0,Transition,Transition (middle belt)
Adansi Asokwa,1379.8409550197766,0.9322851342077263,6.169611000885669,-1.4783786354684365,Ashanti,3,Forest,Southern (bimodal)
Adentan,915.0690050171833,0.8814782875168167,5.710869548105258,-0.1796031746778894,Greater Accra,2,Coastal,Southern (bimodal)
Afadjato South,1384.0518047350804,0.6465792934924972,6.876783853180301,0.44616048408123,Volta,0,Transition,Transition (middle belt)
Afigya Kwabre North,1290.7208189306195,0.918447292988778,6.827013559719741,-1.579071254704477,Ashanti,0,Transition,Transition (middle belt)
Afigya Kwabre South,1336.1523239614055,1.0047186395628922,6.799078367245014,-1.6412871532918931,Ashanti,0,Transition,Transition (middle belt)
Afigya Sekyere East,1217.5572578776716,0.8683808466540602,7.003418508882567,-1.510351702131205,Ashanti,0,Transition,Transition (middle belt)
Afram Plains North,1192.6828827102067,0.6794238968459814,7.05239212884329,-0.0399401022975739,Eastern,0,Transition,Transition (middle belt)
Afram Plains South,1182.82191257131,0.8501969829299938,6.842766531576691,-0.268785125019677,Eastern,0,Transition,Transition (middle belt)
Agona East,1249.3070047074052,1.0072020865920968,5.630590813998047,-0.6954231069360609,Central,3,Forest,Southern (bimodal)
Agona West,1275.1247012013434,1.030145269129844,5.621188699900647,-0.7962558696446338,Central,3,Forest,Southern (bimodal)
Agotime Ziope,1103.1774392173809,0.9620029202046718,6.408559259029587,0.5855331666136243,Volta,0,Transition,Transition (middle belt)
Ahafo Ano North,1234.8376784275072,0.937029382824916,6.895398983434276,-2.236128787296222,Ashanti,0,Transition,Transition (middle belt)
Ahafo Ano South East,1247.5453039012136,0.9497201388131556,6.95150972381935,-1.918873321085148,Ashanti,0,Transition,Transition (middle belt)
Ahafo Ano South West,1284.8657618520426,0.9363087358913357,6.920300640627075,-2.07535518222073,Ashanti,0,Transition,Transition (middle belt)
Ahanta West,1434.2350606846287,1.1444085836001816,4.839410734041283,-1.9968262297641672,Western,2,Coastal,Southern (bimodal)
Ajumako Enyan Esiam,1220.2654847252475,0.9854802464389868,5.415488424683261,-1.009244186704333,Central,3,Forest,Southern (bimodal)
Akan,1479.58184627725,0.4490075652534909,7.7747217999768194,0.5154385574450486,Oti,4,Guinea Savannah,Northern (unimodal)
Akatsi North,1097.249122790789,1.0906534980885514,6.313712444529192,0.7660481191776677,Volta,0,Transition,Transition (middle belt)
Akatsi South,998.348158315412,1.0561400965188923,6.0757198066240194,0.7769641392864408,Volta,2,Coastal,Southern (bimodal)
Akim Oda,1404.496103221319,0.9332105632818466,5.935332547416502,-0.9434817919266364,Eastern,3,Forest,Southern (bimodal)
Akim Swedru,1427.045936401513,0.9195206962466466,5.86727930868359,-1.1126437905650337,Eastern,3,Forest,Southern (bimodal)
Akrofuom,1408.235110181569,0.8884829058457856,6.031070957014439,-1.6850249301655484,Ashanti,3,Forest,Southern (bimodal)
Akuapim North,1249.6488317699298,0.8296577174269327,5.933553516194576,-0.1701526324367931,Eastern,3,Forest,Southern (bimodal)
Akuapim South,1219.122695409262,0.8316043436638195,5.849363228141498,-0.2454672299996607,Eastern,3,Forest,Southern (bimodal)
Akwatia,1459.571893429891,0.9341631005659441,6.061253459257717,-0.7841095955253019,Eastern,3,Forest,Southern (bimodal)
Amasaman,1073.453528540711,0.9334367548416617,5.731912772347085,-0.3272013677967473,Greater Accra,3,Forest,Southern (bimodal)
Amenfi Central,1503.4957773641308,0.953881239470206,5.8462728433437015,-2.195624586568524,Western,3,Forest,Southern (bimodal)
Amenfi East,1393.0148030723894,0.9047048293381701,5.791496165487411,-1.99128366758026,Western,3,Forest,Southern (bimodal)
Amenfi West,1605.0606888705925,0.9864659306415278,5.665100369446825,-2.4044875160008656,Western,3,Forest,Southern (bimodal)
Anlo,899.7332558762095,1.018081514206868,5.837469769650415,0.8255524117574896,Volta,2,Coastal,Southern (bimodal)
Anyaa Sowotuom,954.5882752332619,1.093520930984463,5.584502820859675,-0.290793567858782,Greater Accra,2,Coastal,Southern (bimodal)
