cons_name,year,month,precip_mm,tmean_c,tmax_c,cdd,aod
Amenfi East,2012,4,125.32348593808634,26.177554643473822,30.895363424236024,125.32663930422152,0.1752424990169538
Sege,2012,4,99.37711507990632,27.90881554274687,30.95353067534194,177.26446628240168,0.3796717384737226
Binduri,2012,4,37.92959837607984,31.51336911493164,37.58432314791455,285.4010734479504,0.2795469876512191
Akim Swedru,2012,4,108.7810243438348,26.498832295915456,31.45216171442514,134.96496887746645,0.1967231074734951
Lawra,2012,4,71.16038933801488,31.03788757259184,37.40336673813287,271.13662717775134,0.2883507538172922
Sissala East,2012,4,60.07661789912092,30.698311734196377,36.85684352403733,260.9493520258972,0.2459954681060341
Anlo,2012,4,89.05655113868332,27.81813437942777,29.83184614580073,174.54403138283243,0.3431220499258636
Garu,2012,4,42.675390633649634,30.9855301886648,36.97877964524838,269.5659056599466,0.2902287046875597
Ashiaman,2012,4,75.75224612756459,27.62469103518664,31.271214127972613,168.7407310555985,0.2028443848792304
Navrongo Central,2012,4,43.46727136617007,31.337179884873517,37.41218085438437,280.11539654620776,0.2553988118554727
Wassa East,2012,4,103.2157579943383,26.34909805275738,30.084531017235275,130.4729415827103,0.1144026073422965
Subin,2012,4,108.6717859732954,26.752085134718243,31.78400878906251,142.56255404154524,0.1960415822784809
Kwesimintsim,2012,4,87.29713706195568,26.74469788871942,29.34723536765184,142.34093666158145,0.3325167296773006
Asawase,2012,4,108.1874896468324,26.752085134718243,31.78400878906251,142.56255404154524,0.2280311572700296
Bolgatanga East,2012,4,38.97325778937288,31.13457035762933,37.14874387737608,274.0371107288764,0.2877318666883197
Madina,2012,4,76.3811201817392,27.338152971874205,31.235208120221145,160.14458915622686,0.158424827586207
Atwima Kwanwoma,2012,4,111.8855576073874,26.87900293597629,31.958049887396125,146.37008807928953,0.1238102790561711
Builsa North,2012,4,46.66134346562242,31.264531094600567,37.416553465405045,277.9359328380234,0.2588848328043966
Jirapa,2012,4,68.37978980155657,30.76279310819477,37.00709244035346,262.8837932458475,0.2529572054650691
Oforikrom,2012,4,105.45292008695044,26.719887895749387,31.69469564683438,141.5966368724808,0.2188891850573668
Awutu Senya West,2012,4,73.68657106582774,27.37184465901014,31.18920098548738,161.15533977030276,0.1918336219377845
Fanteakwa South,2012,4,120.44449282881936,25.881772553737804,30.67191590333588,116.45317661213232,0.1270623824727937
Talensi,2012,4,43.13584064931359,31.1118327682461,37.12412892720666,273.35498304737445,0.2784839993369494
Trobu,2012,4,72.25495183696161,27.475583727983945,30.96899248859649,164.26751183952103,0.2344809598041573
Nhyiaeso,2012,4,109.21011672584577,26.81520773471725,31.858641212691587,144.45623204151642,0.192203065063213
Asokwa,2012,4,106.48406665146526,26.85379105150495,31.8896602223861,145.61373154514757,0.2271991306436119
Bosomtwe,2012,4,107.65557764258024,26.78421048999835,31.71107474470052,143.52631469995092,0.1530122854866098
Adentan,2012,4,76.18497319009397,27.42943315438597,31.031368208271942,162.88299463157995,0.223182463253928
Nkawkaw,2012,4,111.66276359262189,26.358281053546285,31.66304187115437,130.74843160639114,0.1313131305230154
