cons_name,year,month,nights_valid,bm_mean_rad,nlit_0p25,lit_share_0p25,nlit_0p5,lit_share_0p5,nlit_1p0,lit_share_1p0
Amenfi East,2012,1,8.375674280028802,0.0392882153146931,0.0592506922436395,0.0064691010402107,0.0235888853209968,0.002509931045902,0.0061155350680623,0.0006363650400884146
Sege,2012,1,9.670230931513435,0.0371887379281843,0.015291602361703,0.0015102602989892,0.00012743001968085855,1.061916862321409e-05,0.0,0.0
Binduri,2012,1,10.938097493076183,0.0343082550711828,0.0346205174566274,0.0030944035917878,0.0213698394248568,0.0018956842641464,0.0073184381591975,0.0006497886184700963
Akim Swedru,2012,1,8.406024615304299,0.0349184223537156,0.0377582583954371,0.0042969945955345,0.0136676281340137,0.0015141785330343,0.0007282788864380898,8.091987687379892e-05
Lawra,2012,1,9.449545127366047,0.0334058549706131,0.075860547898832,0.0079868043789991,0.0156952857721721,0.0016633303876773,0.0013079404810143,0.00012286713910735202
Sissala East,2012,1,11.210596133763492,0.0356171854013038,0.0448487432390998,0.0040132900400382,0.0191748094904429,0.0017163339415751,0.0109673269689026,0.0009839713036494306
Anlo,2012,1,8.407103201937858,0.0340350452686316,0.003489788377408,0.00040552633642665256,0.0,0.0,0.0,0.0
Garu,2012,1,10.538801746877692,0.0264595554838907,0.0086435454349698,0.0008410244157134127,0.0007856239233419469,6.817050306914611e-05,0.0007856239233419469,6.817050306914611e-05
Ashiaman,2012,1,9.254589010330877,0.7112254686363406,6.455645627018583,0.7035480492589411,4.474258336363438,0.4894402276050876,2.6486942014416166,0.2906398225555204
Navrongo Central,2012,1,10.986251236519072,0.0466451304784902,0.2635974823928138,0.0233590923241739,0.095471954720755,0.0085212659172419,0.0208677314117514,0.0018996414259246
Wassa East,2012,1,9.929868756651304,0.0314406574005017,0.0055737781062542,0.000596084614219425,0.0,0.0,0.0,0.0
Subin,2012,1,10.068246445497632,2.828861852543425,10.068246445497632,1.0,10.068246445497632,1.0,10.068246445497632,1.0
Kwesimintsim,2012,1,10.245432942224864,1.4929937049779705,10.245432942224864,1.0,9.699539581167386,0.946278195547682,8.395885934947273,0.8200139118255855
Asawase,2012,1,9.808698251382454,2.728565697890193,9.808698251382454,1.0,9.808698251382454,1.0,9.808698251382454,1.0
Bolgatanga East,2012,1,11.198828839685788,0.1726012103311518,1.6046703988956694,0.1442363182669888,0.92147528950338,0.0827461272769998,0.4036887715415713,0.036718027345482
Madina,2012,1,8.91716157750701,0.4414359419497645,5.421357437289216,0.5771671652997956,2.7358936216118006,0.2770021550359288,1.0454447384258998,0.1070685476802777
Atwima Kwanwoma,2012,1,8.958717120700543,0.1792097026217692,1.8095137833676207,0.1915323955102108,0.8722346381469631,0.0909855261163205,0.2268985583716169,0.0237381095401034
Builsa North,2012,1,10.813076392330643,0.0327205201363107,0.0571828393174709,0.0050887035656806,0.0199077911097968,0.0017746191939611,0.0057474376007363,0.0005430975278578373
Jirapa,2012,1,10.688463599505525,0.0332208240222895,0.0412203556175769,0.0038563665939041,0.0110795040675964,0.0010512253001298,0.00217245177796,0.00020572460469808296
Oforikrom,2012,1,9.258961975375833,1.0955188492544008,8.857447339183283,0.9518317317850408,7.731469514545499,0.8285108941397257,4.761127360950506,0.5146278832155508
Awutu Senya West,2012,1,10.064453571380556,0.0480315495884491,0.0207170993372141,0.0020624757431168,0.00017477111705631662,1.58882838422638e-05,0.0,0.0
Fanteakwa South,2012,1,7.865806291992818,0.0551091569941282,0.1387380244072565,0.0164563399890113,0.0463344402248758,0.0054942684990396,0.0132573612262053,0.0015871971518819
Talensi,2012,1,10.80938061215922,0.0349076141632201,0.0560176681267239,0.0051928709456068,0.0188619744152091,0.0017927598748204,0.0100924156883463,0.0009498512005919332
Trobu,2012,1,10.702674998629616,0.5579323284164825,5.171430137587023,0.4775826438406636,3.8695170750424825,0.353221731701193,2.639319190922546,0.2364932198296552
Nhyiaeso,2012,1,9.226627847867276,1.79522904936997,9.226627847867276,1.0,9.226627847867276,1.0,8.525070474606034,0.9281106760144436
Asokwa,2012,1,9.023000144655,1.3798839534810292,9.023000144655,1.0,8.94922609576161,0.9917516512824576,6.52090264718646,0.7292972620844443
