cons_name,region_2019,region_pre2019,centroid_lon,centroid_lat,nb_agreement
Asunafo North,Ahafo,Brong-Ahafo,-2.6856388123908146,6.815782545417226,0.5
Asunafo South,Ahafo,Brong-Ahafo,-2.607826290627792,6.560606232470892,0.3333333333333333
Asutifi North,Ahafo,Brong-Ahafo,-2.533374288638407,7.037805999336291,0.3333333333333333
Asutifi South,Ahafo,Brong-Ahafo,-2.405186195086113,6.888805526448998,0.6666666666666666
Tano North,Ahafo,Brong-Ahafo,-2.072491743413006,7.237423376662884,0.1666666666666666
Tano South,Ahafo,Brong-Ahafo,-2.147595169959605,7.136375291244861,0.1666666666666666
Adansi Asokwa,Ashanti,Ashanti,-1.4783786354684365,6.169611000885669,1.0
Afigya Kwabre North,Ashanti,Ashanti,-1.579071254704477,6.827013559719741,1.0
Afigya Kwabre South,Ashanti,Ashanti,-1.6412871532918931,6.799078367245014,1.0
Afigya Sekyere East,Ashanti,Ashanti,-1.510351702131205,7.003418508882567,1.0
Ahafo Ano North,Ashanti,Ashanti,-2.236128787296222,6.895398983434276,0.5
Ahafo Ano South East,Ashanti,Ashanti,-1.918873321085148,6.95150972381935,0.8333333333333334
Ahafo Ano South West,Ashanti,Ashanti,-2.07535518222073,6.920300640627075,0.6666666666666666
Akrofuom,Ashanti,Ashanti,-1.6850249301655484,6.031070957014439,0.8333333333333334
Asante Akim Central,Ashanti,Ashanti,-1.0451709141039922,6.630383310756256,0.5
Asante Akim North,Ashanti,Ashanti,-1.0206179900785288,6.756760728496584,0.5
Asante Akim South,Ashanti,Ashanti,-1.1417676764802087,6.3738528169258775,0.5
Asawase,Ashanti,Ashanti,-1.607368458343779,6.685757357905307,1.0
Asokwa,Ashanti,Ashanti,-1.5951105820251283,6.653597991169874,1.0
Atwima Kwanwoma,Ashanti,Ashanti,-1.7348215588645932,6.600119806578995,1.0
Atwima Mponua,Ashanti,Ashanti,-2.1613064651615628,6.555469229857144,0.8333333333333334
Atwima Nwabiagya North,Ashanti,Ashanti,-1.7620753648098015,6.842819647874201,1.0
Atwima Nwabiagya South,Ashanti,Ashanti,-1.812576726340817,6.719210715993997,1.0
Bantama,Ashanti,Ashanti,-1.669144734905875,6.709482815767458,1.0
Bekwai,Ashanti,Ashanti,-1.626810400492256,6.398162963259489,1.0
Bosome Freho,Ashanti,Ashanti,-1.327334797321288,6.284198439770398,0.8333333333333334
Bosomtwe,Ashanti,Ashanti,-1.4888774334926629,6.550709938909249,1.0
Effiduasi/ Asokore,Ashanti,Ashanti,-1.348496687150374,6.786243692706301,1.0
Ejisu,Ashanti,Ashanti,-1.4385177493075068,6.710341958626168,1.0
Ejura/ Sekyedumase,Ashanti,Ashanti,-1.422866844532573,7.380175053673187,0.5
Fomena,Ashanti,Ashanti,-1.5704382094654654,6.292780633614675,1.0
Juaben,Ashanti,Ashanti,-1.3480420430477082,6.582662468144751,1.0
Kumawu,Ashanti,Ashanti,-0.8448545904207396,7.194055681042341,0.6666666666666666
Kwabre East,Ashanti,Ashanti,-1.518381214695708,6.809411759849941,1.0
Kwadaso,Ashanti,Ashanti,-1.6755918421903722,6.688084762870058,1.0
Mampong,Ashanti,Ashanti,-1.3069741292670898,7.207974746338722,0.8333333333333334
Manhyia North,Ashanti,Ashanti,-1.5651126789067744,6.727656483386522,1.0
Manhyia South,Ashanti,Ashanti,-1.5698485710335133,6.70499344059995,1.0
Manso Adubia,Ashanti,Ashanti,-1.962702293578941,6.291819883227129,0.6666666666666666
Manso Nkwanta,Ashanti,Ashanti,-1.838803277766755,6.456794857669139,1.0
New Edubiase,Ashanti,Ashanti,-1.397178989426303,6.0266100657487565,0.6666666666666666
Nhyiaeso,Ashanti,Ashanti,-1.635833362175275,6.654606234819156,1.0
Nsuta/ Kwamang/ Beposo,Ashanti,Ashanti,-1.1522396463185365,7.239062660738647,0.8333333333333334
Obuasi East,Ashanti,Ashanti,-1.614769954201584,6.2032183977571895,1.0
Obuasi West,Ashanti,Ashanti,-1.7065496675042044,6.200215100975112,1.0
Odotobri,Ashanti,Ashanti,-1.7784953164011512,6.208663523582035,0.8333333333333334
Offinso North,Ashanti,Ashanti,-1.8981342305310385,7.29924046509049,0.3333333333333333
Offinso South,Ashanti,Ashanti,-1.7607795400717252,7.015002927017728,1.0
Oforikrom,Ashanti,Ashanti,-1.558839195305465,6.666732440615735,1.0
Old Tafo,Ashanti,Ashanti,-1.6135797008231625,6.736685986043256,1.0
Sekyere Afram Plains,Ashanti,Ashanti,-1.6319068422380565,6.981518079750891,1.0
Suame,Ashanti,Ashanti,-1.6613248401705092,6.733928970968752,1.0
Subin,Ashanti,Ashanti,-1.6228656829331691,6.693260144959994,1.0
Banda,Bono,Brong-Ahafo,-2.361986194208183,8.422830506276933,0.5
Berekum East,Bono,Brong-Ahafo,-2.5811182705065105,7.4917450599828275,1.0
Berekum West,Bono,Brong-Ahafo,-2.7298601667548987,7.5299310489045235,1.0
Dormaa Central,Bono,Brong-Ahafo,-2.7193988608173814,7.277303166409562,0.8333333333333334
Dormaa East,Bono,Brong-Ahafo,-2.7255673273195447,7.355149329116208,1.0
Dormaa West,Bono,Brong-Ahafo,-2.893348566408116,7.043949920709016,0.3333333333333333
Jaman North,Bono,Brong-Ahafo,-2.684842619384828,7.922270791333045,1.0
Jaman South,Bono,Brong-Ahafo,-2.770917086503923,7.634897128918487,1.0
Sunyani East,Bono,Brong-Ahafo,-2.279808858192631,7.290329025671206,0.3333333333333333
Sunyani West,Bono,Brong-Ahafo,-2.372857886050985,7.375360824557934,0.6666666666666666
Tain,Bono,Brong-Ahafo,-2.3546720842154256,7.871690600262813,0.8333333333333334
Wenchi,Bono,Brong-Ahafo,-2.1210208070253147,7.735705245503381,0.5
Atebubu Amantin,Bono East,Brong-Ahafo,-1.1353668881284005,7.694246093744445,0.5
Kintampo North,Bono East,Brong-Ahafo,-1.6418935363208087,8.39267221746673,0.6666666666666666
Kintampo South,Bono East,Brong-Ahafo,-1.7472666144440483,7.907845816757887,0.8333333333333334
Nkoranza North,Bono East,Brong-Ahafo,-1.6156692037336016,7.701424267078071,0.8333333333333334
Nkoranza South,Bono East,Brong-Ahafo,-1.6541597997601096,7.47174406225528,0.5
Pru East,Bono East,Brong-Ahafo,-0.8356017022458031,8.07880577343075,0.5
Pru West,Bono East,Brong-Ahafo,-1.24126436453614,8.109249656174116,0.8333333333333334
Sene East,Bono East,Brong-Ahafo,-0.1755132682584889,7.61721709927619,0.1666666666666666
Sene West,Bono East,Brong-Ahafo,-0.5818394163361867,7.760016505666631,0.5
Techiman North,Bono East,Brong-Ahafo,-1.955414712183984,7.758491043810462,0.6666666666666666
Techiman South,Bono East,Brong-Ahafo,-1.963366801199967,7.528270011756557,0.5
Abura Asebu Kwamankese,Central,Central,-1.2116783421196746,5.256046329531245,1.0
Agona East,Central,Central,-0.6954231069360609,5.630590813998047,0.6666666666666666
Agona West,Central,Central,-0.7962558696446338,5.621188699900647,0.8333333333333334
Ajumako Enyan Esiam,Central,Central,-1.009244186704333,5.415488424683261,1.0
Asikuma Odoben Brakwa,Central,Central,-1.0123946812628346,5.633073269820023,0.5
Assin Central,Central,Central,-1.3094474809510082,5.700280504020671,0.6666666666666666
Assin North,Central,Central,-1.4013344248016062,5.802440937176466,0.6666666666666666
Assin South,Central,Central,-1.291826823184561,5.531340550064317,1.0
Awutu Senya East,Central,Central,-0.5264776826803398,5.558738601058394,0.5
Awutu Senya West,Central,Central,-0.577742344055723,5.507387737662523,0.6666666666666666
Cape Coast North,Central,Central,-1.3207440310073673,5.196736214991478,0.8333333333333334
Cape Coast South,Central,Central,-1.2725555690249073,5.14846261812248,0.8333333333333334
