cons_name,region_2019,region_pre2019,centroid_lon,centroid_lat,nb_agreement
EKUMFI,Central,Central,-0.916656627899026,5.272359135789525,1.0
Efutu,Central,Central,-0.6059515545688733,5.370248332253589,1.0
Gomoa Central,Central,Central,-0.7915046086908865,5.372945679375042,1.0
Gomoa East,Central,Central,-0.7272718049918769,5.455047066112395,1.0
Gomoa West,Central,Central,-0.7907351190050519,5.282991760509399,1.0
Hemang Lower Denkyira,Central,Central,-1.4309141105020462,5.359981772967747,0.8333333333333334
Komenda Edina Eguafo Abirem,Central,Central,-1.454781136672081,5.131941957700448,0.6666666666666666
Mfantseman,Central,Central,-1.1262581157762113,5.272109537529869,1.0
Twifo Ati Morkwaa,Central,Central,-1.630048375238917,5.58143426435855,0.8333333333333334
Upper Denkyira East,Central,Central,-1.737328569074674,5.804744154269651,0.5
Upper Denkyira West,Central,Central,-1.995368341313152,6.098773554346596,0.0
Abetifi,Eastern,Eastern,-0.7662981135838272,6.722074646601381,0.6666666666666666
Abirem,Eastern,Eastern,-0.9805981663419095,6.39593473210467,0.6666666666666666
Abuakwa North,Eastern,Eastern,-0.3938969077879246,6.201910756061069,1.0
Abuakwa South,Eastern,Eastern,-0.5368869334929521,6.16915173954863,1.0
Achiase,Eastern,Eastern,-0.9646651775421674,5.823568874650495,0.6666666666666666
Afram Plains North,Eastern,Eastern,-0.0399401022975739,7.05239212884329,0.1666666666666666
Afram Plains South,Eastern,Eastern,-0.268785125019677,6.842766531576691,0.8333333333333334
Akim Oda,Eastern,Eastern,-0.9434817919266364,5.935332547416502,1.0
Akim Swedru,Eastern,Eastern,-1.1126437905650337,5.86727930868359,0.5
Akuapim North,Eastern,Eastern,-0.1701526324367931,5.933553516194576,0.6666666666666666
Akuapim South,Eastern,Eastern,-0.2454672299996607,5.849363228141498,0.3333333333333333
Akwatia,Eastern,Eastern,-0.7841095955253019,6.061253459257717,1.0
Asene Akroso Manso,Eastern,Eastern,-0.819892092117902,5.789493449725205,0.5
Asuogyaman,Eastern,Eastern,0.0680803689093056,6.356971567069281,0.6666666666666666
Atiwa East,Eastern,Eastern,-0.6146450838250546,6.315225614319608,1.0
Atiwa West,Eastern,Eastern,-0.7979930303936091,6.322497138126288,1.0
Ayensuano,Eastern,Eastern,-0.4795787163556061,5.937243153231607,0.8333333333333334
Fanteakwa North,Eastern,Eastern,-0.3183388438760213,6.547363337633505,1.0
Fanteakwa South,Eastern,Eastern,-0.4117132451235445,6.400988409272044,1.0
Kade,Eastern,Eastern,-0.8322366953873792,6.155828583306315,1.0
Lower Manya Krobo,Eastern,Eastern,0.0246757385470373,6.210243795708475,0.6666666666666666
Lower West Akim,Eastern,Eastern,-0.71182236808063,5.8824007476084885,0.8333333333333334
Mpraeso,Eastern,Eastern,-0.5827462799885356,6.5788405933043,1.0
New Juaben North,Eastern,Eastern,-0.311890855344255,6.134913589114144,1.0
New Juaben South,Eastern,Eastern,-0.2838705335859028,6.056021135303324,1.0
Nkawkaw,Eastern,Eastern,-0.8000669556186811,6.518829894832205,0.8333333333333334
Nsawam Adoagyiri,Eastern,Eastern,-0.3261129186928861,5.817003266636256,0.1666666666666666
Ofoase Ayirebi,Eastern,Eastern,-1.1193456025719375,6.106851633609461,0.5
Okere,Eastern,Eastern,-0.1607761450619013,6.04070476629631,1.0
Suhum,Eastern,Eastern,-0.4184535418555338,6.046271292692586,1.0
Upper Manya Krobo,Eastern,Eastern,-0.1510205026109812,6.389141497350686,1.0
Upper West Akim,Eastern,Eastern,-0.5693618475824679,5.788606224015403,0.5
Yilo Krobo,Eastern,Eastern,-0.1136535741390901,6.124180677391549,1.0
Ablekuma Central,Greater Accra,Greater Accra,-0.2452528767015245,5.548102582763505,1.0
Ablekuma North,Greater Accra,Greater Accra,-0.2595102038657813,5.586959924032119,1.0
Ablekuma South,Greater Accra,Greater Accra,-0.2537827418961377,5.531557844312843,1.0
Ablekuma West,Greater Accra,Greater Accra,-0.2667971905760101,5.527045169422239,1.0
Ada,Greater Accra,Greater Accra,0.5470101117609606,5.872476399713562,0.1666666666666666
Adentan,Greater Accra,Greater Accra,-0.1796031746778894,5.710869548105258,1.0
Amasaman,Greater Accra,Greater Accra,-0.3272013677967473,5.731912772347085,0.6666666666666666
Anyaa Sowotuom,Greater Accra,Greater Accra,-0.290793567858782,5.584502820859675,1.0
Ashiaman,Greater Accra,Greater Accra,-0.0942969629594667,5.755372737002106,1.0
Ayawaso Central,Greater Accra,Greater Accra,-0.2149440455529435,5.578100211940017,1.0
Ayawaso East,Greater Accra,Greater Accra,-0.1933568532932688,5.5784889394371895,1.0
Ayawaso North,Greater Accra,Greater Accra,-0.1981759249237464,5.602135892391905,1.0
Ayawaso West Wuogon,Greater Accra,Greater Accra,-0.1773071540243968,5.632580856669685,1.0
Botianor Ngleshie,Greater Accra,Greater Accra,-0.3454576056354044,5.51895849539381,1.0
Dadekotopon,Greater Accra,Greater Accra,-0.1523057496865685,5.584034819495758,1.0
Dome Kwabenya,Greater Accra,Greater Accra,-0.2347242608980424,5.671018861698579,1.0
Domeabra/ Obom,Greater Accra,Greater Accra,-0.4531011185962407,5.7189160091175575,0.5
Korle Klottey,Greater Accra,Greater Accra,-0.1919054268732905,5.553238604825794,1.0
Kpone Katamanso,Greater Accra,Greater Accra,-0.0018616609591359,5.75876936854483,1.0
Krowor,Greater Accra,Greater Accra,-0.0890415512985476,5.606803022936036,1.0
Ledzokuku,Greater Accra,Greater Accra,-0.1268303596197693,5.602341180546174,1.0
Madina,Greater Accra,Greater Accra,-0.2046417180644676,5.7388006312289885,0.8333333333333334
Ningo Prampram,Greater Accra,Greater Accra,0.1398381315712982,5.7993436856094815,1.0
Odododiodioo,Greater Accra,Greater Accra,-0.2236103567543525,5.532374169332321,1.0
Okaikwei Central,Greater Accra,Greater Accra,-0.2338281168419574,5.5907617248238095,1.0
Okaikwei North,Greater Accra,Greater Accra,-0.2355715774760272,5.615473808717686,1.0
Okaikwei South,Greater Accra,Greater Accra,-0.2349751464330059,5.57149090342321,1.0
Sege,Greater Accra,Greater Accra,0.4160429109939916,5.885746401343051,0.5
Shai Osudoku,Greater Accra,Greater Accra,0.1085602517931275,5.948377182844383,0.5
Tema Central,Greater Accra,Greater Accra,-0.0238374702497164,5.647686766763304,1.0
Tema East,Greater Accra,Greater Accra,0.0162441459003621,5.668425035614335,1.0
Tema West,Greater Accra,Greater Accra,-0.0733756904724214,5.636701679647935,1.0
Trobu,Greater Accra,Greater Accra,-0.3255579413069739,5.646021378136295,1.0
Weija Gbawe,Greater Accra,Greater Accra,-0.3476976783147374,5.561142950028436,1.0
Bunkpurugu,North East,Northern,-0.0450873702729995,10.57710837999413,0.3333333333333333
Chireponi,North East,Northern,0.2234464788937753,10.17037727020572,0.5
Nalerigu Gambaga,North East,Northern,-0.4426390854725068,10.47572163655924,0.3333333333333333
Walewale,North East,Northern,-0.8309137437735025,10.292639638594132,0.3333333333333333
Yagaba Kubori,North East,Northern,-1.3547319595636145,10.272493697212616,0.1666666666666666
Yunyoo,North East,Northern,-0.175190884911742,10.370447113774627,0.5
Bimbilla,Northern,Northern,-0.1251110313275088,8.86626285650008,0.6666666666666666
Gushiegu,Northern,Northern,-0.212956628089706,9.876959783344086,0.6666666666666666
Karaga,Northern,Northern,-0.3543874767021752,9.956766081221382,0.6666666666666666
Kpandai,Northern,Northern,-0.1389573725119026,8.331004054651881,0.3333333333333333
Kumbungu,Northern,Northern,-1.0890683521463496,9.760491343868685,1.0
Mion,Northern,Northern,-0.3119560011686456,9.43748992056913,1.0
Nanton,Northern,Northern,-0.718369506814432,9.602171223939571,1.0
Saboba,Northern,Northern,0.1536480909867287,9.708612736728524,0.8333333333333334
Sagnarigu,Northern,Northern,-0.7504152489803287,9.459135880059096,1.0
Savelugu,Northern,Northern,-0.8655494501760805,9.837590372448307,1.0
Tamale Central,Northern,Northern,-0.836971495611846,9.399576384721106,1.0
Tamale North,Northern,Northern,-0.8881538560358855,9.454422081791298,1.0
Tamale South,Northern,Northern,-0.8051271328256558,9.352610055446249,0.8333333333333334
Tatale Sanguli,Northern,Northern,0.3373522572946346,9.039041660213634,0.8333333333333334
Tolon,Northern,Northern,-1.1422765199863842,9.505115241624974,1.0
Wulensi,Northern,Northern,0.1195543548138902,8.760546707680858,0.6666666666666666
Yendi,Northern,Northern,0.0538930519467054,9.380373617458638,1.0
Zabzugu,Northern,Northern,0.3775571281407648,9.353235247635617,1.0
Akan,Oti,Volta,0.5154385574450486,7.7747217999768194,0.8333333333333334
Biakoye,Oti,Volta,0.3289420315262211,7.390146827299349,0.5
Buem,Oti,Volta,0.4633232974967682,7.368824712265788,0.5
Krachi East,Oti,Volta,0.2377032028393144,7.748955431137613,0.8333333333333334
Krachi Nchumuru,Oti,Volta,-0.0015024138971992,8.112714185336834,0.6666666666666666
Krachi West,Oti,Volta,-0.1437206825686183,7.997787857269751,0.5
Nkwanta North,Oti,Volta,0.2781124260395116,8.581091043846644,0.3333333333333333
Nkwanta South,Oti,Volta,0.3882624587303138,8.281967304392504,0.6666666666666666
Bole Bamboi,Savannah,Northern,-2.262947981569655,8.696228330081121,0.5
Daboya Mankarigu,Savannah,Northern,-1.6202833009266386,9.640085891140115,0.3333333333333333
Damongo,Savannah,Northern,-1.8011752436269055,9.157520373414696,0.6666666666666666
Salaga North,Savannah,Northern,-0.5957536225453686,8.946236049532043,0.0
Salaga South,Savannah,Northern,-0.760384757842525,8.341055766873032,0.1666666666666666
Sawla Tuna Kalba,Savannah,Northern,-2.268943079510206,9.525689174863112,0.5
Yapei Kusawgu,Savannah,Northern,-1.438262060031548,8.97080575392562,0.3333333333333333
Bawku Central,Upper East,Upper East,-0.2331636658148156,10.961261775805315,0.8333333333333334
Binduri,Upper East,Upper East,-0.3223075145630134,10.96749216736066,1.0
Bolgatanga Central,Upper East,Upper East,-0.9531029008839812,10.803602608659336,1.0
Bolgatanga East,Upper East,Upper East,-0.8261262470269531,10.79263825027411,1.0
Bongo,Upper East,Upper East,-0.7831746932071489,10.915529008090072,1.0
Builsa North,Upper East,Upper East,-1.300082780370932,10.710561603476002,0.8333333333333334
Builsa South,Upper East,Upper East,-1.3323917684409547,10.509534026668923,0.6666666666666666
Chiana Paga,Upper East,Upper East,-1.262762925416575,10.878088098175104,1.0
Garu,Upper East,Upper East,-0.085429174462001,10.845177541395737,0.8333333333333334
Nabdam,Upper East,Upper East,-0.6689876163581596,10.82730594385495,1.0
Navrongo Central,Upper East,Upper East,-1.0407453454413338,10.757056325478036,1.0
Pusiga,Upper East,Upper East,-0.1047798239722371,11.082995739795605,0.8333333333333334
Talensi,Upper East,Upper East,-0.7706023149108692,10.635031168672048,0.8333333333333334
Tempane,Upper East,Upper East,-0.296553920744235,10.732746282266913,0.6666666666666666
Zebilla,Upper East,Upper East,-0.4752758665438805,10.851919089097647,1.0
Daffiama Bussie Issa,Upper West,Upper West,-2.3365524814789533,10.371949765225365,1.0
Jirapa,Upper West,Upper West,-2.6243042226317006,10.60688565942481,1.0
Lambussie Karne,Upper West,Upper West,-2.6220769154617374,10.839288878700645,1.0
Lawra,Upper West,Upper West,-2.818365504677239,10.647601652578594,1.0
Nadawli Kaleo,Upper West,Upper West,-2.614751312872397,10.306908278344496,1.0
Nandom,Upper West,Upper West,-2.80951802529172,10.88024378434424,1.0
Sissala East,Upper West,Upper West,-1.874783613478484,10.594859392045288,0.5
Sissala West,Upper West,Upper West,-2.324052801592861,10.770304257564662,1.0
Wa Central,Upper West,Upper West,-2.428462200644433,10.025786666758956,0.8333333333333334
Wa East,Upper West,Upper West,-2.032835107198274,10.033010105301557,0.6666666666666666
Wa West,Upper West,Upper West,-2.571833745014714,9.901332580360885,0.8333333333333334
Adaklu,Volta,Volta,0.6433795455730987,6.503273176225571,1.0
Afadjato South,Volta,Volta,0.44616048408123,6.876783853180301,1.0
Agotime Ziope,Volta,Volta,0.5855331666136243,6.408559259029587,1.0
Akatsi North,Volta,Volta,0.7660481191776677,6.313712444529192,1.0
Akatsi South,Volta,Volta,0.7769641392864408,6.0757198066240194,1.0
Anlo,Volta,Volta,0.8255524117574896,5.837469769650415,0.8333333333333334
Central Tongu,Volta,Volta,0.5315715700666601,6.1413078817149485,0.6666666666666666
Ho Central,Volta,Volta,0.4216643308867845,6.563616931261904,1.0
Ho West,Volta,Volta,0.3984259547357013,6.698390681020838,1.0
Hohoe,Volta,Volta,0.4959344559213314,7.152041089889223,0.6666666666666666
Keta,Volta,Volta,0.897886803000404,5.972224416395649,0.8333333333333334
Ketu North,Volta,Volta,0.9737899789831986,6.185678359834121,1.0
Ketu South,Volta,Volta,1.065225383308783,6.084371608067842,1.0
Kpando,Volta,Volta,0.2125936067561814,6.831359779801488,0.8333333333333334
North Dayi,Volta,Volta,0.2946199768458193,6.972795016414875,0.8333333333333334
North Tongu,Volta,Volta,0.3085028107411516,6.167191349073342,0.3333333333333333
South Dayi,Volta,Volta,0.2034362301571873,6.613531277181372,0.8333333333333334
South Tongu,Volta,Volta,0.6370475052899586,5.938773512756642,0.6666666666666666
Ahanta West,Western,Western,-1.9968262297641672,4.839410734041283,1.0
Amenfi Central,Western,Western,-2.195624586568524,5.8462728433437015,0.5
Amenfi East,Western,Western,-1.99128366758026,5.791496165487411,0.3333333333333333
Amenfi West,Western,Western,-2.4044875160008656,5.665100369446825,0.6666666666666666
Effia,Western,Western,-1.825980546187342,4.92672515592705,1.0
Ellembele,Western,Western,-2.4265451681020367,5.149328990714451,1.0
Essikadu Ketan,Western,Western,-1.7457105244119488,4.972360729736024,1.0
Evalue Ajomoro Gwira,Western,Western,-2.202699894265175,5.088358958918545,1.0
Jomoro,Western,Western,-2.799235259516871,5.189212948243241,0.6666666666666666
Kwesimintsim,Western,Western,-1.7706777725568892,4.919055755780454,1.0
Mpohor,Western,Western,-1.797398273870742,5.273179388178255,1.0
Prestea Huni Valley,Western,Western,-2.032782618636204,5.471370489704661,0.8333333333333334
Sekondi,Western,Western,-1.7799978735796878,4.948064661653819,1.0
Shama,Western,Western,-1.6911564494092424,5.036531138019117,1.0
Takoradi,Western,Western,-1.767475291145396,4.888932749703355,1.0
Tarkwa Nsuaem,Western,Western,-2.018792983138374,5.16187323333797,1.0
Wassa East,Western,Western,-1.6030895077610492,5.222672108852536,0.5
Aowin,Western North,Western,-2.730216956475392,5.699329525400886,0.3333333333333333
Bia East,Western North,Western,-2.961828903460267,6.668904425843025,0.5
Bia West,Western North,Western,-3.1220203934942643,6.690432984662193,0.5
Bibiani Anwiaso Bekwai,Western North,Western,-2.240803134495402,6.30124456688008,0.1666666666666666
Bodi,Western North,Western,-2.792722087431452,6.363965164348054,0.8333333333333334
Juaboso,Western North,Western,-3.026506109120269,6.289804295003982,1.0
Sefwi Akontonbra,Western North,Western,-2.662759284449673,6.071225503696151,1.0
Sefwi Wiawso,Western North,Western,-2.548698973362008,6.336331634472234,0.6666666666666666
Suaman,Western North,Western,-3.003749705619417,5.927033944084121,0.8333333333333334
