k,mean,se,n,mean_rel,sig,design
-6,-0.042180973175949314,0.011190197259472697,12,-0.06643773477196993,True,real
-5,-0.018180594676878967,0.011983094534409735,12,-0.04243735627289958,True,real
-4,-0.02151672962674246,0.03786173099333323,12,-0.04577349122276307,False,real
-3,-0.06114823539051325,0.038054342060444585,12,-0.08540499698653387,True,real
-2,-0.0419616607131394,0.01612318494924299,12,-0.06621842230916002,True,real
-1,0.024256761596020613,0.0701353673833372,12,0.0,False,real
0,-0.011613119277876774,0.07731728620288733,12,-0.035869880873897385,False,real
1,0.004524032115454157,0.019966747077655927,9,-0.019732729480566456,False,real
2,0.0381313702605481,0.02418432235634155,9,0.013874608664527489,False,real
3,-0.07323967809684048,0.08508481916147863,9,-0.09749643969286109,False,real
4,0.0040043032637646,0.08193689906316516,9,-0.020252458332256012,False,real
5,0.09136480107656336,0.030335215119002987,9,0.06710803948054275,True,real
6,0.1764171839892558,0.05520650964197026,9,0.15216042239323518,True,real
-6,-0.13089275848512402,0.021838534483083552,3,-0.24267666841512547,True,placebo
-5,0.18156895677032572,0.09517318562111098,3,0.06978504684032429,False,placebo
-4,0.10250833721302832,0.02679216531860085,3,-0.009275572716973116,False,placebo
-3,0.03356667638477193,0.018652381799340905,3,-0.0782172335452295,True,placebo
-2,0.07171021703341184,0.03266617386490306,3,-0.0400736928965896,False,placebo
-1,0.11178390993000144,0.01864315144005539,3,0.0,False,placebo
0,-0.03739787460229257,0.021400492508669284,3,-0.149181784532294,True,placebo
1,-0.17471885363933817,0.14538028192989333,3,-0.2865027635693396,False,placebo
2,-0.039689467648389265,0.011736269557328925,3,-0.1514733775783907,True,placebo
3,0.053215802809441694,0.010580225496122572,3,-0.058568107120559744,True,placebo
4,-0.09355478950480084,0.047493694778864504,3,-0.20533869943480226,True,placebo
5,-0.0181857195025947,0.01967037233126447,3,-0.12996962943259613,True,placebo
6,0.0699090728833523,0.008828174655542469,3,-0.04187483704664914,True,placebo
