spec,k,estimate,se,pvalue,n
Northern unimodal,-6,-0.006152657066070705,0.06901683489829687,0.9292887657014832,5520
Northern unimodal,-5,-0.06038210010160718,0.09761721438078304,0.5387597275358167,5520
Northern unimodal,-4,-0.17600367179600454,0.09904888607758884,0.08110868589262732,5520
Northern unimodal,-3,0.2940666222507657,0.14869229925092803,0.05298364643871745,5520
Northern unimodal,-2,-0.21223120972750778,0.09540302788428746,0.03023217948210366,5520
Northern unimodal,-1,0.0,0.0,,5520
Northern unimodal,0,-0.17562365722154305,0.23235420376068341,0.45296755534930755,5520
Northern unimodal,1,-0.014167998561280017,0.2198285056436744,0.9488454153238304,5520
Northern unimodal,2,0.1293857209932324,0.16452052937922634,0.4349845501012708,5520
Northern unimodal,3,0.1254983845588792,0.17123381896125944,0.46672769938297254,5520
Northern unimodal,4,0.08331525671487887,0.13215098657280916,0.5310078432157943,5520
Northern unimodal,5,0.056276123914545145,0.12380826990799254,0.651227345235283,5520
Northern unimodal,6,0.1755744973126676,0.15397345312321165,0.2591065481512327,5520
Southern bimodal,-6,-0.03448550891059026,0.04987481331299348,0.4901596986055008,18278
Southern bimodal,-5,0.2212543877922231,0.061047800579176754,0.00037486161048372324,18278
Southern bimodal,-4,0.05348164292454656,0.05665967048378583,0.34645328673300346,18278
Southern bimodal,-3,0.043343288873102064,0.034892361120159164,0.21574370621265038,18278
Southern bimodal,-2,-0.155645058054144,0.05493342332673836,0.00512051660608992,18278
Southern bimodal,-1,0.0,0.0,,18278
Southern bimodal,0,0.09892622926487746,0.0735037922772958,0.1800017944037704,18278
Southern bimodal,1,0.21365800752540676,0.0676130503077088,0.0018448274202020887,18278
Southern bimodal,2,0.03132865798906389,0.03982656104659475,0.43251206149394505,18278
Southern bimodal,3,-0.30468790612561425,0.1333625488868995,0.023474219662782625,18278
Southern bimodal,4,0.11417724536766505,0.047067456561417066,0.016239155622506996,18278
Southern bimodal,5,0.030807700662182188,0.051124136498515986,0.5475129186648879,18278
Southern bimodal,6,0.1588242420402651,0.05619486819223576,0.005229358232369474,18278
Transition,-6,-0.032563786327816965,0.0893076648423663,0.7179492927914031,3959
Transition,-5,0.13913873961796216,0.19496746229366269,0.4809585104797025,3959
Transition,-4,-0.044773506573343586,0.13149858810673534,0.7358629428309427,3959
Transition,-3,-0.2339370142198798,0.10038150704246913,0.026694439122311397,3959
Transition,-2,0.07982526322404356,0.15451800439875488,0.6092173128680374,3959
Transition,-1,0.0,0.0,,3959
Transition,0,-0.061490522195322056,0.1514475693247104,0.6876105863850301,3959
Transition,1,-0.10921288176729183,0.21873867601303496,0.621220747174696,3959
Transition,2,-0.11530016574712647,0.2523330186292452,0.6510082552481649,3959
Transition,3,-0.7828110677089948,0.26737470739541974,0.006458279059381011,3959
Transition,4,0.09698720234369092,0.21926356816843764,0.6614219627341504,3959
Transition,5,0.0461821555980824,0.07062119781434147,0.5181310628918911,3959
Transition,6,0.0156839222731089,0.12500937370931137,0.9009948367691143,3959
overall,-6,-0.02756191831558847,0.04037208685649314,0.4953812418139858,27757
overall,-5,0.19513647229522293,0.05108633196158301,0.00016567623493890515,27757
overall,-4,0.0008690687518082263,0.04989941032887679,0.9861172307066781,27757
overall,-3,0.021368426737529308,0.0460516259012045,0.6430129005118483,27757
overall,-2,-0.17538604973719124,0.048574766074632875,0.0003638055176407029,27757
overall,-1,0.0,0.0,,27757
overall,0,0.03177447765796526,0.06965580310494791,0.6486373158283834,27757
overall,1,0.1314237849093048,0.062416990755601025,0.03616122170478486,27757
overall,2,0.02535299065764334,0.0401286082967767,0.5280544650520058,27757
overall,3,-0.24362389184616864,0.1066951071250852,0.023183101571491838,27757
overall,4,0.03214492390282709,0.04280164973715395,0.45329185487519164,27757
overall,5,0.057522377148185345,0.042554161503014463,0.17758404110439163,27757
overall,6,0.1469588149580704,0.04945433834280186,0.003228438399692779,27757
placebo_2018,-6,0.06289672824116989,0.036545170366279967,0.08637976188728791,27757
placebo_2018,-5,-0.01636537729600926,0.10358488771040665,0.8745823301825237,27757
placebo_2018,-4,0.05145804202192235,0.05733796679653803,0.3702746535842123,27757
placebo_2018,-3,0.05169149048265048,0.04225212109581511,0.22223916117323705,27757
placebo_2018,-2,0.00396328128027109,0.05611016948488261,0.9437412082390628,27757
placebo_2018,-1,0.0,0.0,,27757
placebo_2018,0,0.032667140713274784,0.06276974061977585,0.6031900966797612,27757
placebo_2018,1,-0.23648004498324357,0.08447716413292986,0.005488773278671921,27757
placebo_2018,2,-0.02624342454975225,0.0432306269555132,0.5443218147212323,27757
placebo_2018,3,0.35949987496434965,0.048883708418553225,2.284616940073647e-12,27757
placebo_2018,4,0.1334330192279157,0.042282521740610056,0.0017814076313054095,27757
placebo_2018,5,0.05281159277213307,0.033022013327832785,0.11092258709666591,27757
placebo_2018,6,0.08794221675885282,0.039198009834696595,0.025670030081563322,27757
