date,zone,trend,seasonal,remainder
2012-04-01,Southern bimodal,0.35649039901649643,0.10649663788637306,0.07560127043895987
2012-05-01,Southern bimodal,0.36503353536139005,-0.052780814270523044,-0.006742652812397831
2012-06-01,Southern bimodal,0.37367769748477436,-0.08560773487206559,-0.05368598145921183
2012-07-01,Southern bimodal,0.3823799661735282,-0.09443863634493636,0.00028687315658820767
2012-08-01,Southern bimodal,0.39111942775317543,0.049946431863851136,-0.050635057334825706
2012-09-01,Southern bimodal,0.39988714566508665,0.07840891977835375,0.06096596245532171
2012-10-01,Southern bimodal,0.40869648135397213,0.011252469781556132,0.004598821225055838
2012-11-01,Southern bimodal,0.41755236495591463,0.09927577029253573,-0.0018126414016244041
2012-12-01,Southern bimodal,0.42646218179286904,-0.1323800377335933,-0.018616299774168343
2013-01-01,Southern bimodal,0.43545936973922417,-0.1858699846156881,-0.07612187684898641
2013-02-01,Southern bimodal,0.44469620363499673,0.046129900315322575,0.0074179569991985606
2013-03-01,Southern bimodal,0.45454595094407296,0.15939516627035935,0.03941724116497097
2013-04-01,Southern bimodal,0.4633435906630558,0.09393896964733232,-0.08377505165173466
2013-05-01,Southern bimodal,0.47118562486837745,-0.022917828949366618,0.09011543479853734
2013-06-01,Southern bimodal,0.47800997865150646,-0.05049178581981098,0.12285973798135713
2013-07-01,Southern bimodal,0.48385902084790866,-0.11034710888967857,-0.026292254701071216
2013-08-01,Southern bimodal,0.48842594791034016,0.01652458982702934,0.030821421297643703
2013-09-01,Southern bimodal,0.4913039655749355,0.059364450542419823,-0.0898711447034728
2013-10-01,Southern bimodal,0.4926696368418155,0.029825260079470204,0.05216472627485741
2013-11-01,Southern bimodal,0.49299016541337753,0.055393647200312535,0.050577697888030515
2013-12-01,Southern bimodal,0.49236479312607406,-0.13171341369912565,0.00802506245827228
2014-01-01,Southern bimodal,0.49055143417400304,-0.1503112107549524,0.06801883063721537
2014-02-01,Southern bimodal,0.4872070923946958,0.04775515715618533,-0.06305595029266686
2014-03-01,Southern bimodal,0.4826075519869853,0.15455472594116046,-0.03421374176256736
2014-04-01,Southern bimodal,0.47788303077393174,0.08769979880443042,0.03366037055488075
2014-05-01,Southern bimodal,0.473801393992948,0.014044922696019075,-0.07964817790164713
2014-06-01,Southern bimodal,0.470241239974961,-0.012656975262878623,-0.0123371239144765
2014-07-01,Southern bimodal,0.4668695860604253,-0.1282014776478502,0.09256027054173421
2014-08-01,Southern bimodal,0.4635933489472218,-0.020537812280353868,0.10110449055675363
2014-09-01,Southern bimodal,0.46068459873347456,0.03690686911460839,-0.023295073804963984
2014-10-01,Southern bimodal,0.45800990979599643,0.05251362927638053,-0.125636674755427
2014-11-01,Southern bimodal,0.45567783783975035,0.01391594799807725,-0.10338049412954381
2014-12-01,Southern bimodal,0.4544605582367702,-0.13653597697637504,0.0084221457258572
2015-01-01,Southern bimodal,0.4551366482224428,-0.12048141355483971,0.04352526669595169
2015-02-01,Southern bimodal,0.458614594054223,0.0446600738951602,0.156495307938888
2015-03-01,Southern bimodal,0.46530107215926647,0.1527226120853308,-0.006940650994623765
2015-04-01,Southern bimodal,0.47456719214726667,0.0972397160890448,-0.1723222954846016
2015-05-01,Southern bimodal,0.48538505457369846,0.04697007139079096,-0.08036191930562026
2015-06-01,Southern bimodal,0.4965638852421355,0.018359112207883527,-0.04806918129828569
2015-07-01,Southern bimodal,0.5070914004063091,-0.14383644093931486,-0.07319699636046523
2015-08-01,Southern bimodal,0.5165928100480776,-0.06114196741328998,-0.03712243577869956
2015-09-01,Southern bimodal,0.5254744601537045,0.016999101378974455,0.18399839188544098
2015-10-01,Southern bimodal,0.5348671952532864,0.07225400807957258,0.0571079808851952
2015-11-01,Southern bimodal,0.54530362910674,-0.034112602190850945,0.07369008317128367
2015-12-01,Southern bimodal,0.5561861798341221,-0.1511439419759516,0.09433165708521885
2016-01-01,Southern bimodal,0.5660968315823244,-0.10705629355407559,0.02145008520772118
2016-02-01,Southern bimodal,0.573282648512663,0.04014567653840429,-0.06727417902434296
2016-03-01,Southern bimodal,0.5770779971028603,0.15025668292751948,-0.06490634115853311
2016-04-01,Southern bimodal,0.5788144572008902,0.141787585510103,0.0034010394602694838
2016-05-01,Southern bimodal,0.5810368450456049,0.10743328480808495,0.07914027051573802
2016-06-01,Southern bimodal,0.5864010174861022,0.03692273873005622,-0.005053419722219621
2016-07-01,Southern bimodal,0.5966076178983606,-0.17710704492776336,0.023400358546798117
2016-08-01,Southern bimodal,0.6116458249377579,-0.10593255104541136,-0.08175668359632027
2016-09-01,Southern bimodal,0.6305689724799288,0.0019206965570601115,-0.08950537809536052
